test,p_value,is_normal,ticker,is_white_noise,is_homoskedastic,mean,sd,skewness,kurtosis
NA,NA,NA,TSLA,NA,NA,2.2174738216214994e-4,0.011985148820364314,0.46422762480588625,30.53284661827666
Shapiro-Wilk,4.603992194609276e-61,FALSE,WMT,NA,NA,NA,NA,NA,NA
Ljung-Box,0.8593343328600677,NA,WMT,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.03119791932488168,NA,WMT,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,WMT,NA,NA,9.644007329056997e-5,0.0037028852559120116,-0.28063906366439917,27.43158671402255
Shapiro-Wilk,4.313100669669822e-62,FALSE,XOM,NA,NA,NA,NA,NA,NA
Ljung-Box,0.996239802081387,NA,XOM,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.099636841740146,NA,XOM,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,XOM,NA,NA,-9.923856928413894e-6,0.00480903899549354,-0.5015769826565378,39.43996332805196
Shapiro-Wilk,2.602596992077538e-61,FALSE,CAC.PA,NA,NA,NA,NA,NA,NA
Ljung-Box,0.8988401896754866,NA,CAC.PA,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.7481766400569448,NA,CAC.PA,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,CAC.PA,NA,NA,-2.3082318393955742e-5,0.003634445788013693,0.0025669688921044673,30.730252077229697
Shapiro-Wilk,1.3472975607733396e-62,FALSE,SPY,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9337143657885659,NA,SPY,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.016043781179017655,NA,SPY,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,SPY,NA,NA,3.0850100908629424e-6,0.00328588933916401,0.8378585265706106,32.13623482708789
Shapiro-Wilk,8.283990931794933e-65,FALSE,IWDA.AS,NA,NA,NA,NA,NA,NA
Ljung-Box,0.23464554831404016,NA,IWDA.AS,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.2945549197383128,NA,IWDA.AS,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,IWDA.AS,NA,NA,8.04681571746254e-5,0.0029230630153666685,0.49152952336161276,37.91374874260564
Shapiro-Wilk,1.075687076319853e-62,FALSE,QQQ,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9487201814560859,NA,QQQ,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.050849637978630347,NA,QQQ,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,QQQ,NA,NA,1.1931422745577552e-4,0.004813968226550054,0.27943980361730847,30.746493291277694
