test,p_value,is_normal,ticker,is_white_noise,is_homoskedastic,mean,sd,skewness,kurtosis
Shapiro-Wilk,2.955131436153257e-44,FALSE,AAPL,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9827063692460951,NA,AAPL,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.7366213639791589,NA,AAPL,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,AAPL,NA,NA,7.347777695573896e-5,0.005985700098059567,2.8784748919049266,60.42483506631408
Shapiro-Wilk,3.718583832847256e-40,FALSE,AMZN,NA,NA,NA,NA,NA,NA
Ljung-Box,0.6606221261207554,NA,AMZN,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.13718023381051195,NA,AMZN,NA,TRUE,NA,NA,NA,NA
NA,NA,NA,AMZN,NA,NA,1.1204620511558697e-4,0.005815667724883662,0.6884188801005637,18.830674809235312
Shapiro-Wilk,7.045418459798116e-42,FALSE,BAC,NA,NA,NA,NA,NA,NA
Ljung-Box,0.857648943476035,NA,BAC,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,7.711689675070648e-4,NA,BAC,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,BAC,NA,NA,-2.661574686296568e-5,0.005308302650005713,0.3881819612706799,23.422763948647376
Shapiro-Wilk,1.5193162038133056e-38,FALSE,COIN,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9418208989595112,NA,COIN,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,5.250780635651276e-8,NA,COIN,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,COIN,NA,NA,2.54789449432093e-4,0.022691914442661408,-0.1808347150669816,16.3577534723923
Shapiro-Wilk,4.2600818428649816e-40,FALSE,GOOG,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9087296749918597,NA,GOOG,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,2.4183956787655084e-5,NA,GOOG,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,GOOG,NA,NA,6.361863749789129e-7,0.005447136246641209,-0.14988087398744532,17.16545862855831
Shapiro-Wilk,5.996851138163201e-39,FALSE,INTC,NA,NA,NA,NA,NA,NA
Ljung-Box,0.8464304723304716,NA,INTC,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,3.2021678399009044e-5,NA,INTC,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,INTC,NA,NA,4.2835672337134384e-5,0.0076267179275176285,0.03725892929723679,21.343618257153835
Shapiro-Wilk,7.346240231994319e-42,FALSE,JNJ,NA,NA,NA,NA,NA,NA
Ljung-Box,0.7291219107360127,NA,JNJ,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.10001340084255612,NA,JNJ,NA,TRUE,NA,NA,NA,NA
