test,p_value,is_normal,ticker,is_white_noise,is_homoskedastic,mean,sd,skewness,kurtosis
NA,NA,NA,JNJ,NA,NA,-1.085792889107682e-4,0.0038534139396503657,-0.8381198775449026,26.964708933892176
Shapiro-Wilk,8.391121821898866e-44,FALSE,JPM,NA,NA,NA,NA,NA,NA
Ljung-Box,0.8928212571707519,NA,JPM,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.027877790924359706,NA,JPM,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,JPM,NA,NA,1.5166046143225162e-4,0.00491154119039051,0.7972196083264997,39.317404136468525
Shapiro-Wilk,4.8704595019013585e-39,FALSE,META,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9898194384904206,NA,META,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,5.761206929527112e-4,NA,META,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,META,NA,NA,1.9540633895026726e-4,0.007285748484970972,0.483492598128698,22.755873802777167
Shapiro-Wilk,7.471720968913419e-46,FALSE,MSFT,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9871823741803484,NA,MSFT,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,3.738927930549126e-4,NA,MSFT,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,MSFT,NA,NA,3.0285974506437435e-5,0.005081500665212204,0.11355660716159469,20.581694222433597
Shapiro-Wilk,3.126489102920419e-40,FALSE,NFLX,NA,NA,NA,NA,NA,NA
Ljung-Box,0.770588841296847,NA,NFLX,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,9.88642788192456e-4,NA,NFLX,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,NFLX,NA,NA,4.1353371928638605e-5,0.007107742839417356,-0.298979787591789,23.997028697583147
Shapiro-Wilk,1.1437296787818078e-40,FALSE,NVDA,NA,NA,NA,NA,NA,NA
Ljung-Box,0.5920464782957987,NA,NVDA,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.02131974802159717,NA,NVDA,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,NVDA,NA,NA,9.382779511266625e-5,0.012692982624363535,-0.2653735113344437,23.336197816642855
Shapiro-Wilk,1.396998011802965e-41,FALSE,PFE,NA,NA,NA,NA,NA,NA
Ljung-Box,0.7406884994192313,NA,PFE,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.019335975045921928,NA,PFE,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,PFE,NA,NA,2.026579747681838e-5,0.006544964681001925,-0.21022749711725786,24.122779272046554
Shapiro-Wilk,9.3473788771042e-40,FALSE,TSLA,NA,NA,NA,NA,NA,NA
Ljung-Box,0.5675829760666837,NA,TSLA,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,0.039681424721419487,NA,TSLA,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,TSLA,NA,NA,3.0091373610542204e-4,0.011851906784075205,0.36690861122666707,18.45131812364964
Shapiro-Wilk,2.191225891793078e-39,FALSE,WMT,NA,NA,NA,NA,NA,NA
Ljung-Box,0.8310388300311677,NA,WMT,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,1.817984057861805e-4,NA,WMT,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,WMT,NA,NA,-7.744235246217052e-6,0.003981914330281918,-0.028764866213822265,19.644961378911827
Shapiro-Wilk,1.406266114558105e-41,FALSE,XOM,NA,NA,NA,NA,NA,NA
Ljung-Box,0.3508169446731906,NA,XOM,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,4.994615987106798e-4,NA,XOM,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,XOM,NA,NA,-1.5189173023776272e-5,0.005225561655112096,-0.5507751998359364,23.723602319664625
Shapiro-Wilk,7.952259648396661e-41,FALSE,SPY,NA,NA,NA,NA,NA,NA
Ljung-Box,0.6673123262044185,NA,SPY,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,2.3904725776286555e-8,NA,SPY,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,SPY,NA,NA,1.447459862346201e-4,0.0032749622214874093,0.7614713018872359,21.048876477473662
Shapiro-Wilk,1.2545517569424281e-40,FALSE,IWDA.AS,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9983160642361412,NA,IWDA.AS,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,1.9416073569391964e-5,NA,IWDA.AS,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,IWDA.AS,NA,NA,3.5465159313111878e-6,0.0028575568124388313,1.2039002367151206,23.418546028049718
Shapiro-Wilk,4.59519928986224e-40,FALSE,QQQ,NA,NA,NA,NA,NA,NA
Ljung-Box,0.9803333397289844,NA,QQQ,TRUE,NA,NA,NA,NA,NA
Breusch-Pagan,5.553946607139068e-8,NA,QQQ,NA,FALSE,NA,NA,NA,NA
NA,NA,NA,QQQ,NA,NA,9.805666795338562e-6,0.00458957896411835,0.5390529250197311,19.107399126657192
