"ticker","global_rmse","local_rmse","rmse_difference","percent_difference","better_model"
"AAPL",0.00914643926491771,0.00867562482003513,-0.000470814444882586,-5.14751622184222,"Local"
"AMZN",0.014039155753519,0.013401428466347,-0.000637727287171996,-4.54249029192619,"Local"
"BAC",0.0115600709092001,0.0113562391439145,-0.00020383176528559,-1.7632397490172,"Local"
"CAC.PA",0.0113172531819418,0.00680741182455664,-0.00450984135738517,-39.849257455698,"Local"
"COIN",0.0503289291609481,0.00926744305327035,-0.0410614861076777,-81.5862502783761,"Local"
"GOOG",0.0150951084558461,0.0484143373521771,0.033319228896331,220.728648580374,"Global"
"INTC",0.0227851433782955,0.0138058049427907,-0.00897933843550478,-39.4087422950266,"Local"
"IWDA.AS",0.00861960643563024,0.00906848171045532,0.000448875274825084,5.20760754191283,"Global"
"JNJ",0.0126904513091862,0.0220759109284346,0.00938545961924839,73.9568624518069,"Global"
"JPM",0.0140006427279446,0.00724950563424304,-0.00675113709370155,-48.2201940645669,"Local"
"META",0.0141841879713002,0.00873372144100467,-0.00545046653029554,-38.4263557513749,"Local"
"MSFT",0.0116914873422475,0.0146239920991425,0.00293250475689493,25.082392607981,"Global"
"NFLX",0.014179052861107,0.0132603654881086,-0.000918687372998458,-6.47918716431622,"Local"
"NVDA",0.0294276818239369,0.0102095227246282,-0.0192181590993087,-65.3063982895055,"Local"
"PFE",0.0139674389349998,0.014998200774617,0.00103076183961716,7.37974831616597,"Global"
"QQQ",0.0112745455363258,0.0124624118025803,0.00118786626625443,10.5358239268022,"Global"
"SPY",0.00846174790336569,0.0271168454229092,0.0186550975195435,220.463877352378,"Global"
"TSLA",0.0268318359806432,0.0235536307658197,-0.0032782052148235,-12.2175956098883,"Local"
"WMT",0.0104435596907616,0.0128458984887177,0.00240233879795609,23.0030647508167,"Global"
"XOM",0.0131192962162499,0.00963921051523541,-0.0034800857010145,-26.5264663870001,"Local"
